Symptoms_comment,Causes_and_Disease,Fetched_recommendation
"I've been experiencing Stomach Pain, Diarrhea, and it's starting to affect my daily activities.","The symptoms suggest Food Poisoning, and the patient may be experiencing Gastroenteritis.","Disease: ACUTE DIARRHOEA
Treatment: treatment
Blood urea, All 3 investigations in moderate to severe dehydration, SE in
S. electrolytes (SE) and persistent vomiting or signs of dyselectrolytaemia, ABG in
arterial blood gas (ABG) respiratory distress and no chest signs and sepsis (correct it
only if pH <7.25).
Infection screening by Fever persisting >72 hours, PEM > grade III or age <3
TLC, DLC, band cell count, months.
ESR and CRP
Blood culture Suspected sepsis, Before starting antibiotics.
Chest X-ray, CSF and others As and when required
Stool culture No role
Non-pharmacological treatment
 Maintain hydration by home available fluids (HAF) in place of or along with ORS. These
are rice, kanji, butter milk, dal soup, coconut water or weak tea etc. Soft drinks,
sweetened fruit drinks and tea are unsuitable and could be potentially dangerous.
386
Pediatric Conditions
 Maintain nutrition: continue breast feeding. Continue normal light diet e.g. khichri, dalia,
banana or mashed dal etc. Do not dilute or stop milk as there is not much role of lactose
intolerance or milk protein allergy. Give extra food during recovery.
Pharmacological treatment
 Low osmolarity oral rehydration solution (ORS) is used in some dehydration 75 ml/kg in
4 hours under observation.
 After 4 hours if dehydration is corrected, or if child was not dehydrated at presentation,
send home with instructions to give ORS in 2:1 dilution as accepted by the child. Asked
to report back if vomiting persists or urine is not passed for >8 hours. As a rough
guideline 10 ml/kg of ORS may be added for each large stool.
 If dehydration is not corrected after 4 hours, same amount of ORS may be repeated in
next 4 hours and if dehydration is corrected, send the patient home. If dehydration does
not improve in 8 hours or if it worsens, abandon oral rehydration therapy (ORT) and give
IV fluids.
 Zinc ORS is not superior to supplementation of zinc separately, in malnourished children
with diarrhoea.
 Principles of Oral Rehydration Therapy (ORT)
- Give in small sips.
- Vomiting is not a contraindication unless persistent.
- Contraindicated in altered sensorium or paralytic ileus.
- Stop as soon as diarrhoea stops.
 IV fluid therapy in case of severe dehydration or shock or contraindications or
failure of ORT. N/2 saline is given over 8 hours (1:100 ml KG after child passes
urine), as follows:
- Some dehydration-75 ml/kg.
- Severe dehydration-100 ml/kg (half in first 2-3 hours)
- Shock- push 20 ml/kg of Ringer's lactate or normal saline over 15 minutes and can repeat
twice more if shock persists use central venous pressure monitoring for further
management if shock present after pushing 60 ml/kg.
 Specific therapyis indicated -Frank blood and mucus in the stool or >10 pus cells/HPF
- Syr. ciprofloxacin 15-20 mg/kg/day in 2 divided doses (Shigella strains are largely
resistant to ampicillin and cotrimoxazole) for 5 days
Giardiasis (only if trophozoites are seen on stool microscopy)
- Syr. metronidazole 15 mg/kg/day in 3 divided doses for 5 days Or
- Syr. tinidazole 50 mg/kg/day single dose (max. 2 g)
Cholera (suspect in any child with severe watery diarrhoea)
Mainstay of treatment is fluid therapy and following antibiotic may be used to prevent
spread: Syr. doxycycline 5 mg/kg (max 200 mg) in single dose. Or Syr. furazolidone 5
mg/kg/day in 4 divided doses for 3 days. Or Syr. cotrimoxazole (TMP) 8 mg/kg/day in 2
divided doses for 5 days. Or Syr. erythromycin 30 mg/kg/day for 3 days.
387
Pediatric Conditions
 Severe infections to be treated by appropriate parenteral antibiotics.
 There is not much role of antiemetics in a child with vomiting. Rule out meningitis, URI
and dyselectrolytaemia and give ORS in sips. If vomiting persists give intravenous fluids.
However, occasionally 1 or 2 doses of metoclopramide (0.5 mg/kg) or domperidone (0.5
mg/kg) may be tried before giving intravenous fluids. Binding agents e.g., Kaolin pectin
etc. are not useful.
 Following drugs are contraindicated,
- Antimotility agents e.g. diphenoxylate, atropine etc. and antisecretory agents e.g.,
loperamide, salicylates etc.
 Keep record of vitals e.g. pulse, BP, capillary filling time (CFT), respiratory rate (1
hourly) and temperature (6 hourly). Monitor for improvement or worsening of signs of
dehydration. Record urine output and stool frequency and consistency.
 Modifications or step up treatment
- Admit if PEM grade III or age <3 months (as higher chances of complications e.g. shock,
hypoglycaemia etc.), associated severe systemic infections e.g. septicaemia, meningitis or
pneumonia.
- Investigate for lactose intolerance, incipient infections e.g., Urinary tract infection (UTI)
or rare gut organisms, if diarrhoea persists for >7 days.
- Exclude parenchymal renal failure, if child has not passed urine after hydration. Give a
fluid challenge (20 ml/kg of normal saline) followed by frusemide injection (1-2 mg/kg).
If urine is still not passed then parenchymal renal failure considered and managed
accordingly.
Patient education
 Inform natural course of diarrhoea to avoid dissatisfaction and ORS only prevents
dehydration i.e. purge rate and consistency usually improves by 3-7 days
 Explain the complications in diarrhoea are because of dehydration and thus ORS is the
mainstay of therapy. Explain preparation of ORS and method of administration.
Nutritional advice as mentioned earlier in non-pharmacological section. Education about
food and water hygiene."
"I've been experiencing  Back Pain, Numbness, and it's starting to affect my daily activities.","Clinically, this pattern points toward Sciatica, indicating a probable diagnosis of Herniated Disc.","Disease: CERVICAL AND LUMBAR SPONDYLOSIS
Treatment: treatment
 In acute painful situation rest, moist heat in cold weather and light massage (improves
tone, circulation and elasticity) to paraspinal muscles. Cervical traction in the position of
maximum comfort to neck (5-10 pounds) for 10-15 minutes. Ultrasonic exposure on
painful trigger points in cervical and shoulder muscles. Inter ferential therapy (IFT) for
acute neck and back pain. Removable soft cervical collar/back corset/ back belt for
symptomatic relief.
(Caution: No exercises in acute painful situation).
 In chronic pain mobilization and strengthening exercises, moist heat and cervical traction.
Pharmacological treatment
Same as described for osteoarthritis of knee.
Patient education
 In cervical spondylosis avoid prolonged desk work, if must, then intermittent rest is
required and proper writing, typing, sitting posture (avoid low table, use tilt table) and
care of the neck.
 In lumbar spondylosis explain the patient how to manage weight since extra weight puts
greater stress on the back muscles and to maintain proper body alignment while standing
with feet slightly apart. When standing for long periods, use a small stool to keep one foot
up with knee bent. Do not tense up or concentrate on standing up straight, just stand
naturally. Try to avoid carrying heavy bags on shoulders.
 Care of back while sitting by using well designed fully adjustable chair to provide plenty
of support to the lower back. If chair is uncomfortable use a rolled up towel or small
pillow to support the back. When sitting for long periods rest your feet on low stool and
use arm rests to support weight of your body. Try not to sit in the same position for long
periods. If prolonged sitting is must take rest for a minute or two every hour.
 To lift weight cautiously by keeping the back as much upright (vertical) and straight (not
hunched over) as one can. Not to bend over at waist to pick up the object, instead squat,
get under or next to object not on top of it. Lift with your leg muscles rather than back or
abdominal muscles. Hold the object close to your body while lifting and carrying and do
not twist your body.
 To sleep safely on a firm bed. While sleeping supine legs should be supported with
pillows. Not to sleep on your stomach. Sleeping on your side with knees bent and hips
tilted forward is probably the best.
"
"I am dealing with  Fatigue, Weakness recently, and It's worrying me a bit.","This presentation aligns with Chronic Fatigue Syndrome, often seen in cases of Chronic Fatigue Syndrome.","Disease: FACIAL PALSY
Treatment: treatment
 Use of paper tape to depress the upper eyelid during sleep and prevent corneal drying.
 Massage of the weakened muscles.
 Splinting of lower part of face to prevent drooping.
 Facial retraining (mime therapy)
Pharmacological treatment
 Tab. prednisone 60-80 mg daily during the first 5 days and then tapered over the next 5
days modestly shortens the recovery period and improves the functional outcome.
 Tab. acyclovir 400 mg five times daily for 10 days in combination with prednisone.
PARKINSON'S DISEASE
Parkinson's disease (PD) is the second commonest neurodegenerative disease.
Salient features
 Cardinal features include bradykinesia, rest tremor, rigidity, gait disturbance and
postural instability. Other motor features include micrographia, masked facies, reduced
eye blink, soft voice (hypophonia) and dysphagia.
 Non motor features include anosmia, sensory disturbances (e.g., pain), mood disorders
(e.g., depression), sleep disturbances, autonomic disturbances, orthostatic hypotension,
gastrointestinal disturbances, genitourinal disturbances, sexual dysfunction and
cognitive impairment/dementia.
Pharmacological treatment
 Levodopa
- Tab. carbidopa/levodopa (1:4) 10/100mg-25/200mg 4-6 times a day
95
Central Nervous System Diseases
- Adverse effects: Acute side effects include nausea, vomiting, and orthostatic
hypotension.
- Motor complications like wearing-off effect, dyskinesia, on-off phenomenon develop
with long-term therapy.
 Dopamine Agonists-Tab. pramipexole 0.25–1.0 mg TDS, Tab. ropinirole 6–24 mg/d
 Adverse effect: Acute side effects include nausea, vomiting, and orthostatic hypotension,
hallucination.
 MAO-B Inhibitors-Tab. selegiline 5 mg BD
 COMT Inhibitors- Tab. entacapone 200 mg with each levodopa dose or Tab. tolcapone
100–200 mg TDS
 Adverse effects: Primarily dopaminergic (nausea, vomiting, increased dyskinesia). Cases
of fatal hepatic toxicity have been reported with tolcapone.
 Central-acting anticholinergic agents-Tab.trihexyphenidyl 2 mg TDS
 NMDA-receptor antagonist -Tab. amantadine 100-300 mg/day."
"These past few days,  Anxiety, Palpitations have been bothering me.","Based on the symptoms, the likely cause is Stress, which typically leads to Anxiety Disorder.","Disease: PREMENSTRUAL SYNDROME
Treatment: treatment when the symptoms are severe to interfere with the woman's lifestyle,
relationships and occupational functioning.
Salient features
 Somatic symptoms include feeling of bloating, bodyaches, breast tenderness,
headache, food cravings and poor concentration.
 Emotional symptoms include emotional hypersensitivity, depression, irritability,
mood swings, anxiety, tension, fear of loss of control and confusion.
 Diagnosis is confirmed by excluding the concomitant medical or psychiatric
disorders with which it may be confused (depending on the symptoms).
Non- pharmacological treatment
Life-style advice should be offered to all women as first line of treatment.
1. Daily charting of symptoms for two months.
2. Dietary modifications like: increase complex carbohydrate meals, reduce or eliminate,
especially in the luteal phase - salts, chocolate, caffeine and alcohol; and several small
meals per day.
3. Moderate regular aerobic exercise like brisk walk 1-2 miles per day for 4-5days/week.
4. Stress management courses/counseling.
Pharmacological treatment
1. Tab. pyridoxine 100 mg/day for 10-14 days (during luteal phase) (maximum daily dose is
150 mg) or Tab. Evening primrose oil 500 mg 3 times a day.
2. NSAIDs like mefenamic acid 500 mg 3 times a day for premenstrual dysmenorrhea.
3. In case of predominantly physical symptoms (bloatedness, irritability swelling,
270
Obstetrics andGynecology
weight gain, breast tenderness), Tab. spironolactone 100 mg/day Or Tab. bromocriptine
1.25 - 5 mg/day in the luteal phase for mastalgia. (Common side effects are nausea and
vomiting. Tablet can be given vaginally if side effects are very severe.)
4. If no relief in symptoms with above measures in 2 - 3 cycles and symptoms are
predominantly emotional, then the following drugs are used preferably in consultation
with a psychiatrist: Tab. fluoxetine 5-20 mg/day
5. In non-responders to the above therapy, ovulation suppression may be beneficial; any
of the following can be used: Low dose combined oral contraceptive pills, 1 pill daily
from 5th to 25th day of the cycle."
"I am dealing with e Joint Pain, Swelling recently, and It's worrying me a bit.","Based on the symptoms, the likely cause is Rheumatoid Arthrit, which typically leads to is  Arthritis.","Disease: ACUTE SEPTIC ARTHRITIS
Treatment: treatment
 Keep the joint in position of comfort.
 Aspiration of the joint for gram staining, culture and sensitivity.
 If aspirate is purulent, drainage of the joint on an emergency basis.
 Drain the joint even if the joint aspiration is doubtful in the presence of a strong clinical
suspicion, because the risks of negative arthrotomy are far too less than not draining an
infected joint having pus. The latter situation may be disastrous for the joint resulting in
lifelong permanent disability to the patient.
 After drainage splint the joint with a POP slab or skin traction to relieve pain and prevent
contractures till the patient is a febrile, pain free and the joint is clinically quiescent.
Intermittent mobilization is permitted to preserve the range of movement of the joint.
Pharmacological treatment
The choice of antibiotics, duration of therapy and monitoring of the therapy are same as
mentioned in the section on acute pyogenic osteomyelitis.
References
1. Osteomyelitis and Septic Arthritis. In: Nelson's Textbook of Paediatrics. Berhman, Kliegman, Jenson et al
(eds), 17th Edition, 2004, W.B. Saunder Company, Philadelphia, pp 2297-2302.
2. Bone and Joint Sepsis. In: Lovell and Winter's Paediatric Orthopaedics. Morissy RT, Weinstein SL, Vol. 4,
1996, Lippincott Raven, Philadelphia.
316
Chapter 16"
"I am dealing with Nausea, Dizziness recently, and It's worrying me a bit.","Based on the symptoms, the likely cause is Motion Sickness, which typically leads to Motion Sickness.","Disease: VERTIGO
Treatment: treatment
These medications should be reserved for short-term control of active vertigo. They are less
helpful for chronic dizziness and may hinder central compensation.
 Antihistamines like Tab. meclizine (25–50 mg 3 times daily), Tab. dimenhydrinate (50
mg 1–2 times daily) and Tab. promethazine (25 mg 2–3 times daily, also can be given
rectally and IM)
 Benzodiazepines like Tab. diazepam (2.5 mg 1–3 times daily) and Tab. clonazepam (0.25
mg 1 –3 times daily.
 Anticholinergic agents like scopolamine transdermal patch (for motion sickness only)
 Physical therapylike repositioningmanoeuvres (for BPPV)
 Diuretics and/or low-sodium (1 g/d) diet (for Ménière's disease)
 Antimigrainous drugs (for vestibular migraine)
 Selective serotonin reuptake inhibitors (for psychosomatic vertigo)
Benign Paroxysmal Positional Vertigo (BPPV)
 A common cause of recurrent vertigo
 Episodes are brief (less than 1 min and typically 15–20 s)
 Always provoked by changes in head position relative to gravity, such as lying down,
rolling over in bed, rising from a supine position, and extending the head to look upward.
 With posterior canal BPPV, the nystagmus beats upward and torsionally
 Horizontal canal BPPV resulting in a horizontal nystagmus
 Superior (also called anterior) canal involvement is rare.
 BPPV is treated with repositioning maneuvers that utilize gravity to remove the otoconia
from the semicircular canal.
 For posterior canal BPPV, the Epley maneuver is the most commonly used procedure.
Vestibular Migraine
 Usually part of migraine aura but can occur independently. The duration of vertigo may
be from minutes to hours. Vestibular migraine typically is treated with medications that
are used for prophylaxis of migraine headaches.
 Antiemetics may be helpful to relieve symptoms at the time of an attack.(See vomiting
section)
Ménière's Disease
 Attack consists of vertigo, hearing loss, & pain, pressure or fullness in affected ear.
 Diuretics and sodium restriction are the initial treatments.
 If attacks persist, injections of gentamicin into the middle ear or full ablative procedures
are required.
 Tab. betahistine 24-48 mg/day relieves pressure from excess fluid. Initial dose 16 mg
TDS initially with maintenance.
105
Central Nervous System Diseases
Psychosomatic Dizziness/vertigo
 Important role in chronic dizziness
 Dizziness may be a somatic manifestation of a psychiatric condition such as major
depression, anxiety, or panic disorder.
 Thus, treatment with antianxiety medications and cognitive/behavioral therapy may be
helpful.
106
Chapter 6"
"These past few days, e Fatigue, Weakness have been bothering me.","This presentation aligns with Chronic Fatigue Syndrome, often seen in cases of Chronic Fatigue Syndrome.","Disease: FACIAL PALSY
Treatment: treatment
 Use of paper tape to depress the upper eyelid during sleep and prevent corneal drying.
 Massage of the weakened muscles.
 Splinting of lower part of face to prevent drooping.
 Facial retraining (mime therapy)
Pharmacological treatment
 Tab. prednisone 60-80 mg daily during the first 5 days and then tapered over the next 5
days modestly shortens the recovery period and improves the functional outcome.
 Tab. acyclovir 400 mg five times daily for 10 days in combination with prednisone.
PARKINSON'S DISEASE
Parkinson's disease (PD) is the second commonest neurodegenerative disease.
Salient features
 Cardinal features include bradykinesia, rest tremor, rigidity, gait disturbance and
postural instability. Other motor features include micrographia, masked facies, reduced
eye blink, soft voice (hypophonia) and dysphagia.
 Non motor features include anosmia, sensory disturbances (e.g., pain), mood disorders
(e.g., depression), sleep disturbances, autonomic disturbances, orthostatic hypotension,
gastrointestinal disturbances, genitourinal disturbances, sexual dysfunction and
cognitive impairment/dementia.
Pharmacological treatment
 Levodopa
- Tab. carbidopa/levodopa (1:4) 10/100mg-25/200mg 4-6 times a day
95
Central Nervous System Diseases
- Adverse effects: Acute side effects include nausea, vomiting, and orthostatic
hypotension.
- Motor complications like wearing-off effect, dyskinesia, on-off phenomenon develop
with long-term therapy.
 Dopamine Agonists-Tab. pramipexole 0.25–1.0 mg TDS, Tab. ropinirole 6–24 mg/d
 Adverse effect: Acute side effects include nausea, vomiting, and orthostatic hypotension,
hallucination.
 MAO-B Inhibitors-Tab. selegiline 5 mg BD
 COMT Inhibitors- Tab. entacapone 200 mg with each levodopa dose or Tab. tolcapone
100–200 mg TDS
 Adverse effects: Primarily dopaminergic (nausea, vomiting, increased dyskinesia). Cases
of fatal hepatic toxicity have been reported with tolcapone.
 Central-acting anticholinergic agents-Tab.trihexyphenidyl 2 mg TDS
 NMDA-receptor antagonist -Tab. amantadine 100-300 mg/day."
"I started feeling e Cough, Shortness of brea, and it doesn't seem to be improving.","This presentation aligns with th  COVID-19 Exposure, often seen in cases of COVID-19.","Disease: VIRAL ENCEPHALITIS
Treatment: treatment
 Specific antiviral therapy should be initiated when appropriate.
 Following table shows drugs, dose duration and their common side effects (Table 5).
100
Central Nervous System Diseases
Table 5. Dosages and side effects of antivirals in the treatment of viral encephalitis
Drug Dose Duration Etiology Side effect
Acyclovir 10 mg/kg 14 to 21 HSV,VZV,EBV nausea, vomiting, diarrhea and
every 8 hrly days Neurotoxicity (lethargy or
obtundation, disorientation,
confusion, agitation, hallucinations,
tremors, seizures)
Ganciclovir 5mg/kg every Indefinite CMV Granulocytopenia and
12 hrly, thrombocytopenia, Gastrointestinal
followed by 5 side effects, including nausea,
mg/kg vomiting, diarrhea, and abdominal
pain
Ribavirin 15 mg/kg in California Hemolysis, nausea, vomiting,
divided doses encephalitis diarrhea, and abdominal pain
every 8 hrly (LaCrosse)
virus, severe
adenovirus or
rotavirus
encephalitis.
 Basic management and supportive therapy should include careful monitoring of ICP, fluid
restriction, avoidance of hypotonic intravenous solutions, and suppression of fever.
 Seizures should be treated with standard anticonvulsant regimens, and prophylactic
therapy should be considered in view of the high frequency of seizures in severe cases of
encephalitis."
"I've been experiencing e Itching, Redness, and it's starting to affect my daily activities.","This presentation aligns with Allergies, often seen in cases of Allergic Reaction.","Disease: ANAPHYLAXIS
Treatment: treatment depends on
prompt diagnosis and rapid supplementation of appropriate therapy.
Clinical criteria for diagnosis
Anaphylaxis is highly likely when any one of the following three criteria is fulfilled:
1. Acute onset of an illness (minutes to several hours) with involvement of the skin, mucosal
tissue, or both (e.g., generalized urticaria, itching or flushing, swollen lips/tongue/uvula)
with one of the following,
 Respiratory compromise (e.g., dyspnoea, wheeze-bronchospasm, stridor, reduced
peak expiratoryflow(PEF), hypoxemia)
 Reduced blood pressure or associated symptoms of end-organ dysfunction (e.g.
hypotonia, collapse, syncope, incontinence)
 Involvement of the skin-mucosal tissue
 Persistent gastrointestinal symptoms (e.g., cramping abdominal pain, vomiting) or
2. Reduced blood pressure after exposure to known allergen,
 Infants and children- low systolic blood pressure (age-specific) or greater than 30%
decrease in systolic blood pressure
 Adults- systolic blood pressure of less than 90 mm Hg or greater than 30% decrease
from baseline
52
Emergency Conditions
Salient features
Skin, subcutaneous tissue, and mucosa
 Flushing, itching, urticaria (hives), angioedema, morbilliform rash, piloerection
 Periorbital itching, erythema and edema, conjunctival erythema, tearing
 Itching of lips, tongue, palate, and external auditory canals; and swelling of lips, tongue,
and uvula
 Itching of genitalia, palms, and soles
Respiratory
 Nasal itching, congestion, rhinorrhea, sneezing
 Throat itching and tightness, dysphonia, hoarseness, stridor, dry staccato cough
 Lower airways: increased respiratory rate, shortness of breath, chest tightness, deep cough,
wheezing/bronchospasm, decreased peak expiratory flow
 Cyanosis, respiratory arrest
Gastrointestinal
 Abdominal pain, nausea, vomiting (stringy mucus), diarrhea, dysphagia
Cardiovascular system
 Chest pain
 Tachycardia, bradycardia (less common), other arrhythmias, palpitations
 Hypotension, feeling faint, urinary or fecal incontinence, shock
 Cardiac arrest
Central nervous system
 Aura of impending doom, uneasiness (in infants and children, sudden behavioral change,
e.g. irritability, cessation of play, clinging to parent); throbbing
 Headache (pre-epinephrine), altered mental status, dizziness, confusion, tunnel vision
Non pharmacological treatment
 Remove exposure to trigger if possible (discontinue intravenous diagnostic or therapeutic
agent that seems to triggering symptoms). Place the patient supine and elevate the
extremities.
 Observe vital signs frequently and if possible, monitor electrocardiogram and pulse
oximetry.
 For severe anaphylaxis with shock, initial management should be directed at the ABC of
resuscitation, namely maintenance of adequate airway - suction, breathing, and
circulation. If working alone, call for assistance.
Pharmacological treatment
 Inj. adrenaline 1:1000 (1mg/ml), 0.01 ml/kg (maximum 0.3 ml in children and 0.5 ml in
adults) IM (mid anterolateral aspect of thigh). If necessary, dose can be repeated every 15
minutes.
53
Emergency Conditions
 If the anaphylaxis is due to an allergen extract or to a hymenoptera sting into an
extremity, half the dose of adrenaline can be infiltrated locally, subcutaneously after
dilution with 2 ml saline.
 High flow oxygen (4-6 lit/min by face mask or oropharyngeal airway).
 Establish two wide bore intravenous lines. Commence rapid fluid resuscitation with Inj.
NS (0.9% normal saline) at rate of 5-10 ml/kg in 5 to 10 minutes. One to two litres of
fluid bolus can be given.
 Intubate and commence intermittent positive pressure ventilation if severe laryngeal
obstruction, bronchospasm, circulatory shock or coma.
 If no response to the initial intramuscular dose of adrenaline, administer adrenaline 5
mcg/kg slowly in to the intravenous line. Repeat at 5 minutes intervals depending on
response. If the patient remains in shock, start an adrenaline infusion (preferably via a
central venous line), commencing at 0.1 mcg/kg/min in children and 0.2 mcg/kg/min in
adults with titration required to restore blood pressure. Large doses of adrenaline may
be needed.
 Commence cardiopulmonary resuscitation, if necessary.
 If the only manifestation of anaphylaxis is urticaria or angioedema, initial IM dose of
adrenaline should be given in addition to antagonists. If no other manifestation, patient
can be kept under observation for at least 12 hours and then discharged.
Additional measures
 IV infusion of chlorpheniramine 10 mg (adult), 2.5-5 mg (child) or diphenhydramine 25-
50 mg (adult) (1 mg/kg, maximum 50 mg [child]).
 Inj. salbutamol solution, 2.5 to 5 mg/3 ml given by nebulizer and face mask.
 IV hydrocortisone infusion 200 mg (adult), maximum 100 mg (child); or
methylprednisolone 50-100 mg (adult); 1 mg/kg, maximum 50 mg (child).
Supportive treatment
All patients with severe anaphylactic reaction must be hospitalized. Patients who remain
clinically unstable after initial resuscitation should be admitted to intensive care unit (ICU).
Patients respondingto the initial treatment should be observed for possible late reaction.
Patient education
To check and look for the cause (food, drugs etc.) and to avoid it in future"
"I started feeling e Nausea, Vomiting, and it doesn't seem to be improving.","The symptoms suggest Food Poisoning, and the patient may be experiencing Gastroenteritis.","Disease: VOMITING
Treatment: treatment
 Hospitalize the patient to give intravenous fluids in case of dehydration. Start oral fluids
as soon as the patient can tolerate. Appropriate analgesics if patient has severe pain.
 Acute vomiting : Rule out gastric outlet obstruction then Inj. odansetron 8 mg IV repeat 8
hourly if needed or Inj. metoclopramide 10 mg IM, repeat after 6 hours if needed or Tab.
domperidone 10 mg three times a dayor Tab. metoclopramide 10 mg three times a day
 In pregnancy avoid all drugs, if possible. Tab. promethazine 25 mg oral/injection is safe
in the first trimester
 If there is history of motion sickness then give Tab. cyclizine 50 mg 3 times daily.
Patient education
 Avoid stale food, cut vegetables, fruits kept in open, drink potable water only.
 Avoid NSAIDS, especially if ulcer symptoms are present.
 Prevent dehydration: Encourage patients to take sips of liquids at short intervals to
prevent dehydration.
 Endoscopy is necessary, if symptom persists.
 Prevent motion sickness by avoiding heavy meal before travel."
"Lately, I've noticed symptoms like e Back Pain, Numbness. It's been pretty uncomfortable.","Clinically, this pattern points toward Sciatica, indicating a probable diagnosis of Herniated Disc.","Disease: CERVICAL AND LUMBAR SPONDYLOSIS
Treatment: treatment
 In acute painful situation rest, moist heat in cold weather and light massage (improves
tone, circulation and elasticity) to paraspinal muscles. Cervical traction in the position of
maximum comfort to neck (5-10 pounds) for 10-15 minutes. Ultrasonic exposure on
painful trigger points in cervical and shoulder muscles. Inter ferential therapy (IFT) for
acute neck and back pain. Removable soft cervical collar/back corset/ back belt for
symptomatic relief.
(Caution: No exercises in acute painful situation).
 In chronic pain mobilization and strengthening exercises, moist heat and cervical traction.
Pharmacological treatment
Same as described for osteoarthritis of knee.
Patient education
 In cervical spondylosis avoid prolonged desk work, if must, then intermittent rest is
required and proper writing, typing, sitting posture (avoid low table, use tilt table) and
care of the neck.
 In lumbar spondylosis explain the patient how to manage weight since extra weight puts
greater stress on the back muscles and to maintain proper body alignment while standing
with feet slightly apart. When standing for long periods, use a small stool to keep one foot
up with knee bent. Do not tense up or concentrate on standing up straight, just stand
naturally. Try to avoid carrying heavy bags on shoulders.
 Care of back while sitting by using well designed fully adjustable chair to provide plenty
of support to the lower back. If chair is uncomfortable use a rolled up towel or small
pillow to support the back. When sitting for long periods rest your feet on low stool and
use arm rests to support weight of your body. Try not to sit in the same position for long
periods. If prolonged sitting is must take rest for a minute or two every hour.
 To lift weight cautiously by keeping the back as much upright (vertical) and straight (not
hunched over) as one can. Not to bend over at waist to pick up the object, instead squat,
get under or next to object not on top of it. Lift with your leg muscles rather than back or
abdominal muscles. Hold the object close to your body while lifting and carrying and do
not twist your body.
 To sleep safely on a firm bed. While sleeping supine legs should be supported with
pillows. Not to sleep on your stomach. Sleeping on your side with knees bent and hips
tilted forward is probably the best.
"
"I started feeling e Fatigue, Weakness, and it doesn't seem to be improving.","The symptoms suggest Chronic Fatigue Syndrome, and the patient may be experiencing Chronic Fatigue Syndrome.","Disease: PREMENSTRUAL SYNDROME
Treatment: treatment when the symptoms are severe to interfere with the woman's lifestyle,
relationships and occupational functioning.
Salient features
 Somatic symptoms include feeling of bloating, bodyaches, breast tenderness,
headache, food cravings and poor concentration.
 Emotional symptoms include emotional hypersensitivity, depression, irritability,
mood swings, anxiety, tension, fear of loss of control and confusion.
 Diagnosis is confirmed by excluding the concomitant medical or psychiatric
disorders with which it may be confused (depending on the symptoms).
Non- pharmacological treatment
Life-style advice should be offered to all women as first line of treatment.
1. Daily charting of symptoms for two months.
2. Dietary modifications like: increase complex carbohydrate meals, reduce or eliminate,
especially in the luteal phase - salts, chocolate, caffeine and alcohol; and several small
meals per day.
3. Moderate regular aerobic exercise like brisk walk 1-2 miles per day for 4-5days/week.
4. Stress management courses/counseling.
Pharmacological treatment
1. Tab. pyridoxine 100 mg/day for 10-14 days (during luteal phase) (maximum daily dose is
150 mg) or Tab. Evening primrose oil 500 mg 3 times a day.
2. NSAIDs like mefenamic acid 500 mg 3 times a day for premenstrual dysmenorrhea.
3. In case of predominantly physical symptoms (bloatedness, irritability swelling,
270
Obstetrics andGynecology
weight gain, breast tenderness), Tab. spironolactone 100 mg/day Or Tab. bromocriptine
1.25 - 5 mg/day in the luteal phase for mastalgia. (Common side effects are nausea and
vomiting. Tablet can be given vaginally if side effects are very severe.)
4. If no relief in symptoms with above measures in 2 - 3 cycles and symptoms are
predominantly emotional, then the following drugs are used preferably in consultation
with a psychiatrist: Tab. fluoxetine 5-20 mg/day
5. In non-responders to the above therapy, ovulation suppression may be beneficial; any
of the following can be used: Low dose combined oral contraceptive pills, 1 pill daily
from 5th to 25th day of the cycle."
"I've been experiencing e Anxiety, Palpitations, and it's starting to affect my daily activities.","Clinically, this pattern points toward Stress, indicating a probable diagnosis of Anxiety Disorder.","Disease: BRONCHIAL ASTHMA
Treatment: treatment.
Salient features
 Precipitating allergens are dust, pollen, fish, nuts, strawberries, cold air, tobacco smoke,
viral and bacterial infections, exercise, emotional stress and drugs like NSAIDs, aspirin,
beta-blocker
 Classical symptoms include cough, breathlessness, chest tightness and wheezing. Signs
include tachypnoea, tachycardia, pulsus paradoxus, use of accessory muscles, silent chest
Diagnosis
 When asthma is suspected and other disorders have been ruled out (e.g. tumours in adults,
foreign body in children; don’t assume the presence of wheeze means asthma), confirm
the diagnosis with pulmonary function tests (PFTs).
 PFTs suffice as objective evidence of variable airflow obstruction:
A 12 % or greater improvement in forced expiratory volume (FEV1) in children and
adults, and > 200 ml in adults from the baseline 15 minutes after use of an inhaled
-
short-acting beta2 agonist.
Serial measures of peak expiratory flow (PEF): A > 20% change after administration
of a bronchodilator.
-
 When there is some probability of asthma and the above tests are non-diagnostic, the
following tests may be used to help diagnosis of asthma:
Methacholine challenge
Exercise challenge
-
Inhaled corticosteroid trial: appropriate doses of inhaled steroids for 4-6 weeks
-
Raised value of absolute eosinophil count (>6-8%)
-
Non pharmacological treatment
-
 Evaluate and assess impact and exposure to allergens and irritants in individual patients.
 Complete cessation of smoking and avoidance of environmental tobacco smoke is
strongly recommended.
 Lifestyle management-"
