disease,treatment
PRETERM LABOR,"treatment
 Hospitalization with complete bed rest, preferably in a centre with neonatal intensive care
unit.
 Laboratory investigations: haemogram, urine culture, endocervical swab for culture and
sensitivity.
Pharmacological treatment
 Inj. pentazocine 15mg + Inj. promethazine 25 mg IM stat and can be repeated 8 hourly.
 Immediate tocolysis in pregnancies <35 week
 If membranes are intact and labour is not advanced (cervical dilatation <4 cm), there is no
indication for immediate delivery and no contraindication for tocolysis.
 Inj. isoxsuprine HCl 10 mg IM every 6 hours in case of mild contraction; Intravenous
infusion if strong contractions are established 0.2-0.4 mcg/min in 5% dextrose. Maximum
dose is 0.8 mcg/min to be continued at least 2 hours after the contractions cease.
Followed by IM therapy for 24 hours.
(Caution: Side effects tachycardia and hypotension, hypokalaemia, neonatal tachycardia,
hypotension and rarely pulmonary oedema and acute respiratorydistress syndrome). Or
 Inj. ritodrine infusion 3 ampoules (150 mg) in 500 ml of 5% dextrose or ringer lactate at
50- 100 mcg/min (5-6 drops/min), increase by 50 mcg every 10 min till contractions
cease or side effects appear (maximum dose 350 mcg/min), continue for 12 hour after
contractions stop. This is followed by oral treatment - 10 mg every 2 hours for 24 hours
then 10-20 mg every 4-6 hours. (Contraindications: Poorly controlled diabetes or thyroid
disease, sickle cell disease). Or
 Cap. Nifedipine 30 mg loading dose followed by 10-20 mg every 4-6 hours.
(Caution: Do not administer along with magnesium sulfate; contraindicated in maternal
hypotension (< 90/50 mmHg), cardiac disease. Use with caution in renal disease.
Maternal side effects include flushing, headache, nausea, dizziness, and hypotension.) Or
 Inj. magnesium sulfate 4-6 g as 20% solution bolus over 30 minutes followed by infusion
of 4-6 g/h. (Contraindicated in patients with myasthenia gravis, cardiac decompensation.
Use with caution in renal disease. It can cause flushing, lethargy, headache, muscle
252
Obstetrics andGynecology
weakness, dryness of mouth, nausea and foetal distress, transient non-reactive non-stress
test (NST).
 Monitor pulse, BP, and cessation of the uterine contractions. If pulse rate >120/min and
BP < 90/50 mmHg stop tocolysis. Monitoring in magnesium sulfate therapy is as outlined
in eclampsia. Monitor for onset of chorioamnionitis (fever, tachycardia with uterine
tenderness).
Maintenance therapy
 Tab. isoxsuprine orally 10 mg 6 hourly or 20 mg 12 hourly (maximum daily-dose is 40 to
80 mg/day) to be continued till 34 weeks of pregnancy (long term therapy is
controversial).
 In pregnancies at 28 -34 weeks of maturity, steroids are given for foetal lung maturity.
 Inj. betamethasone 12 mg IM 2 doses 24 hours apart or Inj. dexamethasone 6 mg IM four
doses 12 hours apart or 12 mg IM two doses 12 hours apart.
(Caution: Contraindicated if clinical or laboratory evidence of chorioamnionitis is
present).
 Cap. ampicillin 500 mg or erythromycin 500 mg 4 times a day for 5-7 days, only if
PROM is present.
 Patient may be discharged after 1 week of tocolysis followed by regular antenatal
surveillance.
Delivery
In cases of ineffective tocolysis or with contraindications for tocolysis, labour is allowed to
progress and mode of delivery is decided as per obstetric indications. Careful foetal
monitoring required throughout labour. If any sign of hypoxia, caesarean section is better but
foetus should have a fairly good chance of survival depending on neonatal care facility.
Patient education
 Restricted physical activity after discharge.
 Sexual abstinence till at least 34 weeks of gestation.
 Explain the risk of recurrence in subsequent pregnancy. Therefore need for early booking
and prophylactic measures in next pregnancy."
NORMAL LABOUR,"Management of labour
When thepatient reports to the hospital with labour pains, examination should be conducted
by a doctor on duty and risk category to be assigned (Table 4).
Table 4. Common risk factors during labour
Maternal Past reproductive Associated medical/
Present pregnancy
factors history surgical problem
Age < 16, >35 >1 abortion Bleeding in Heart disease
pregnancy
Parity-0, >5 Previous stillbirth Prematurity, PROM Diabetes
Obesity Previous caesarean Postmaturity Anaemia
section
Height < 145 cm Prev PPH/MRP PIH Jaundice
PIH, Eclampsia IUGR Hypertension
IUGR Multiple pregnancy Renal disease
Congenital anomaly in Malpresentation Thyroid disease
baby
Previous early neonatal Malposition Epilepsy
Death Asthma
General examination
 Record height and weight.
 Pulserate (PR), blood pressure (BP), respiratory rate (RR), temperature.
 Look for pallor, pedal oedema, jaundice and cyanosis.
 Auscultate cardiovascular and respiratory system.
Per abdomen examination
 Height of the uterus/POG.
 Presentation, attitude, palpable foetal head (rule of fifths).
 Foetal heart rate.
254
Obstetrics andGynecology
 Uterine contractions -+/-, intensity, duration and frequency per 10 minutes.
 Amount of liquor.
 Size of the baby/estimated baby weight.
 Look for overriding of foetal head over symphysis pubis.
 Features of obstructed labour and contour of the uterus.
Per vaginum examination
 Observe aseptic precautions -hand washing and sterile gloves. Note:
 Cervical dilatation and effacement.
 Presentation and station of presenting part.
 Position and degree of flexion (sutures and fontanelle).
 Status of membranes and if leaking present then colour of liquor.
 Cord prolapse or presentation to be ruled out.
 Pelvic adequacy and rule out cephalopelvic disproportion (CPD).
 Vaginal examination should be carried out atleast once every 4 hours during first
stage of labour and after rupture of membranes.
Investigations
 Minimum investigations required during labour are:
 Hb, urine albumin and sugar, blood grouping.
 Urine acetone in prolonged/obstructed labour."
THIRD STAGE OF LABOUR,"management of third stage should be done unless contraindicated.
 Examine the woman for any tears and repair if any. Stitch the episiotomy. Observe the
woman closely for one hour after delivery, record her PR and BP.
 Evaluate the uterus frequently, and inspect the perineum to detect excessive bleeding and
haematoma formation.
Transfer from labour room
 Observe for 2 hours
 Check the following before transfer: pulse rate, BP, uterus, bleeding pre vaginum, inspect
external genitalia for condition of stitches and any haematoma, passed urine.
Episiotomy (Incision of the perineum)
 Not to be performed routinely.
 Applied selectively for: breech, forceps or vacuum delivery, occiput posterior positions,
rigid perineum, scarred perineum, and shoulder dystocia.
 Clean the area with antiseptic solution.
 Infiltrate beneath the vaginal mucosa, beneath the skin and deeply into the perineal
muscle using 10 ml of 0.5 -1% lignocaine.
 Check at the incision site for effect of local anaesthetics by pinching with a forceps before
giving incision.
 Perform episiotomy at crowning. Place two fingers between the baby's head and the
perineum and cut 3-4 cm of perineum in mediolateral direction.
257
Obstetrics andGynecology
 After delivery of the baby and placenta, carefully examine for extensions of tears.
 Repair the episiotomy with vicryl rapide 2-0 suture (chromic catgut if vicryl is not
available). Close the vaginal mucosa with continuous suture starting 1 cm above the apex.
Perineal muscles are approximated using interrupted sutures. Skin is closed with
subcuticular (or interrupted) sutures.
Care of episiotomy
Perineal hygiene: Clean the area with antiseptic solution after urination and defaecation.
Analgesics are prescribed for allaying pain.
Respond to following problems during labour and delivery
Assess facilities and expertise available and appropriate timely"
FETAL DISTRESS IN LABOR,"management
 If a maternal cause is identified (e.g. maternal fever, drugs), initiate appropriate
management.
 If a maternal cause is not identified and the fetal heart rate remains abnormal throughout
at least three contractions, perform a vaginal examination to check for explanatory signs
of distress:
 If there is bleedingwith intermittent or constant pain, suspect abruptio placentae.
 If there are signs of infection (fever, foul-smelling vaginal discharge) give antibiotics as
for amnionitis.
 A normal fetal heart rate may slow during a contraction but usually recovers to normal as
soon as the uterus relaxes.
 A very slow fetal heart rate in the absence of contractions or persisting after contractions
is suggestive of fetal distress.
 A rapid fetal heart rate may be a response to maternal fever, drugs causing rapid maternal
heart rate (e.g. terbutaline or ritodrine), hypertension or amnionitis. In the absence of a
rapid maternal heart rate, a rapid fetal heart rate should be considered a sign of fetal
distress.
 If thecord is below the presenting part or in the vagina, manage as prolapsed cord .
 If fetal heart rate abnormalities persist or there are additional signs of distress (thick
meconium-stained fluid), plan delivery:
 If the cervix is fully dilated and the fetal head is not more than 1/5 above the symphysis
pubis or the leading bony edge of the fetal head is at 0 station, deliver by vacuum
extraction or forceps
258
Obstetrics andGynecology
 If the cervix is not fully dilated or the fetal head is more than 1/5 above the symphysis
pubis or the leading bony edge of the fetal head is above 0 station, deliver by caesarean
section"
MECONIUMSTAINED LIQUOR,"management of the neonatal upper airway at birth to prevent meconium aspiration. In breech
presentation, meconium is passed in labour because of compression of the fetal abdomen.
This is not a sign of distress unless it occurs in early labour
Management
 Prop up the woman or place her on her left side.
 Stop oxytocin if it is being administered.
 Give oxygen 4–6 L by mask or nasal cannulae.
Advice on postpartum care
 To always have someone near her for the first 24 hours to respond to any change in her
condition.
 Not to insert anything into the vagina.
 To have adequate rest and sleep.
 The importance of hand washing to prevent infection of the mother and her baby.
 To wash perineum daily and after faecal excretion.
 To avoid sexual intercourse until the perineal wound heals.
 Counsel for birth spacing and family planning (for details see section on contraception).
 Advise on routine postpartum care visits-within the first week, preferably within 2-3 days
and second visit after 4-6 weeks. Earlier if problems- fever, UTI, perineal infection,
hypertension, urinary incontinence, severe anaemia, postpartum blues, HIV positive.
Counsel on exclusive breastfeeding
 Babies should start breastfeeding within 1 hour of birth. The baby should not be given
any other food or drink before breastfeeding.
 Babies should be exclusively breastfed for the first 6 months of life.
 Breast milk contains exactly the nutrients a baby needs, is easily digested and protects the
baby against infection."
POSTPARTUMHAEMORRHAGE (PPH),"management, failing which it may result in
complications like hypovolaemic shock, coagulation failure, renal failure, hepatic failure,
adult respiratory distress syndrome and may also result in maternal death.
• Monitor pulse rate, blood pressure, respiratory rate and urine output. While resuscitative
measures are underway, a thorough clinical examination is made to ascertain the cause of
PPHand definitive treatment is planned accordingly.
Pharmacological treatment
IV fluids and blood replacement therapy"
ATONIC PPH,"management (oxytocin 5 units intramuscularly at the birth of anterior shoulder or after
delivery of placenta) should be done in all cases unless contraindicated.
Non pharmacological treatment
Placental removal with cord traction if already separated uterine massage and bimanual
compression.
Pharmacological treatment (Table6)
 Oxytocin infusion (10-40 units in 500 ml Ringer's lactate/normal saline at 125 ml/min)
 Methyl ergometrine maleate 0.2 mg IV may be repeated IM after 5-10 min. (Caution:
Contraindicated in heart disease, hypertension).
Table 6. Drugs used in the treatment of post partum haemorrhage
Drug Dose and Route Continuing Dose Maximum Dose Precautions and
Contraindications
Oxytocin IV: Infuse 20 IV: Infuse 20 Not more than 3 Do not give as an
units in 1 L IV units in 1 L IV L of IV fluids IV bolus
fluids at 60 fluids at 40 drops containing
drops per minute per minute oxytocin
IM: 5-10 units
Ergometrine/ IM or IV Repeat 0.2 mg Five doses (Total High blood
263
Obstetrics andGynecology
Methyl- (slowly): 0.2 mg IM after 15 1.0mg) pressure, pre-
Ergometrine minutes. If eclampsia, heart
required, give 0.2 disease
mg IM or IV
(slowly) every
four hours
15-Methyl IM: 0.25 mg 0.25 mg every 15 Eight doses Asthma
ProstaglandinF2 minutes (Total 2 mg)
 Prostaglandins should not be given intravenously. It may be fatal
 If bleeding is not controlled 15-methyl PGF2 0.25 mg IM intramyometrial, may be
A
repeated every 15-90 min up to a maximum of 2 mg. (Caution: Contraindicated in
bronchial asthma, epilepsy).
 In patients with bronchial asthma and epilepsy, administer with caution Tab. misopristol
600mcg per rectum.
Indication for"
PREVENTION OF MATERNAL TO CHILD TRANSMISSION,"treatment and support for HIV-infected women and their
families.
Following should be avoided
 Artificial rupture of membranes
 Routine use of fetal scalp electrodes for fetal monitoring
 Operative delivery with forceps or a vacuum extractor and/or episiotomy
CD4 count has to be done. If CD4 count less than or equal to 350 cells/mm3 start
antiretroviral drugs for their own health. CD4 count higher than 350 cells/mm3 – no need of
ART for mother’s health. But helps in preventing transmission.
Mothers, when identified in pregnancy as being HIV positive, should begin a triple
antiretroviral regimen immediately after being diagnosed, irrespective of their CD4 count.
Mothers should remain on the same triple antiretroviral regimen throughout pregnancy and
continuing for life.
265
Obstetrics andGynecology
Infants born to HIV positive mothers should receive a course of medication for PMTCT.
Under the infant should receive daily NVP or AZT from birth until age 4-6 weeks, regardless
of infant feeding method.
Three options for PMTCT (Table7):
Table7. Treatment options for prevention of mother to child transmission of HIV
Treatment Prophylaxis Infant recieves
(for CD4 count <350 ( for CD4 count >350
cells/mm3) cells/mm3)
Option A Triple ARVs starting as Antepartum:AZT Daily NVP from birth
soon asdiagnosed, starting asearly as 14 until 1week after
continued for life weeks gestation cessation of all
Intrapartum:at onset of breastfeeding; or, if not
labour breastfeeding or if
-single-dose NVP and mother isontreatment,
first doseof AZT/3TC through age4–6weeks
Postpartum:daily
AZT/3TCthrough 7
days postpartum
Option B Triple ARVs starting as Triple ARVs starting as Daily NVP or AZT
soon asdiagnosed, early as14 weeks from birththrough age
continued for life gestation and 4–6 weeks
continued intrapartum regardless of infant
andthrough childbirth if feeding method
notbreastfeeding or
until 1 weekafter
cessation of all
breastfeeding
Option B+ Triple ARVs starting as Triple ARVs starting as Daily NVP or AZT
soon asdiagnosed, soon asdiagnosed, from birththrough age
continued for life continued for life 4–6 weeks
regardless of infant
feedingmethod
AZT: Zidovudine, sd-NVP: Single-dose Nevirapine, NVP: Nevirapine,
AZT: Zidovudine, 3TC: Lamivudine"
VAGINAL DISCHARGE,"management of symptomatic individuals is
recommended. NACO algorithm for the management of vaginal discharge (Figure 1, Table
8):
266
Obstetrics andGynecology
Figure 1. NACO algorithm for the management of vaginal discharge
Table 8. NACO algorithm for the management of vaginal discharge
There are seven pre-packed colour coded STI/RTI drug kits under NACP for syndromic
management of STI/RTI and procured by NACO. These drug kits have been developed based
on the National Guidelines on Prevention, Management and Control of Reproductive Tract
Infections including Sexually Transmitted Infections, Ministry of Health & FW, August
2007.Syndromic Case Management Protocol
Kit No. Syndrome Colour Contents
Kit 1 Cervicitis Grey T. Azithromycin 1 g (1) and
Urethral Discharge T. Cefixime 400 mg (1)
Presumptive treatment
Kit 2 Vaginitis Green T. Secnidazole 2g (1) and
T. Fluconazole 150 mg (1)
Kit 3 Genital Ulcer Disease–Non White Inj. Benzathine Penicillin 2.4 MU (1)
Herpetic and T.Azithromycin 1 g (1)
Kit 4 Genital Ulcer Disease–Non Blue T. Doxycycline 100 mg (30) and
Herpetic (for patients allergic to T. Azithromycin 1 g (1)
Penicillin)
Kit 5 Genital Ulcer Disease-Herpetic Red T. Acyclovir 400 mg (21)
Kit 6 Lower Abdominal Pain (PID) Yellow T. Cefixime 400 mg (1) and
T. Doxycycline 100 mg (28) and
T. Metronidazole 400 mg (28)
Kit 7 Inguinal Bubo Black T. Doxycycline 100 mg (42) and
T. Azithromycin 1 g (1)
267
Obstetrics andGynecology"
PELVIC INFLAMMATORY DISEASE (PID),"Treatment (Acute PID)
The patient can be treated as an outpatient or inpatient depending on the severity of clinical
features.
I. Outpatient treatment- mild PID
Either of the following two regimens can be given:
Regimen A
 Inj. cefoxitin 2 g IM, plus probenecid 1 g orally, as a single dose or Inj. ceftriaxone
250 mg IM as a single dose or Inj. ceftizoxime or cefotaxime 500 mg IM as a single
dose.
 Cap. doxycycline 100 mg 2 times a day for 14 days.
Regimen B
1. Tab. ofloxacin 400 mg oral 2 times a day for 4 days.
2. Tab. Clindamycin 450 mg oral 4 times a day for 14 days or Tab. metronidazole 400
mg 2 times a day for 14 days"
PREMENSTRUAL SYNDROME,"treatment when the symptoms are severe to interfere with the woman's lifestyle,
relationships and occupational functioning.
Salient features
 Somatic symptoms include feeling of bloating, bodyaches, breast tenderness,
headache, food cravings and poor concentration.
 Emotional symptoms include emotional hypersensitivity, depression, irritability,
mood swings, anxiety, tension, fear of loss of control and confusion.
 Diagnosis is confirmed by excluding the concomitant medical or psychiatric
disorders with which it may be confused (depending on the symptoms).
Non- pharmacological treatment
Life-style advice should be offered to all women as first line of treatment.
1. Daily charting of symptoms for two months.
2. Dietary modifications like: increase complex carbohydrate meals, reduce or eliminate,
especially in the luteal phase - salts, chocolate, caffeine and alcohol; and several small
meals per day.
3. Moderate regular aerobic exercise like brisk walk 1-2 miles per day for 4-5days/week.
4. Stress management courses/counseling.
Pharmacological treatment
1. Tab. pyridoxine 100 mg/day for 10-14 days (during luteal phase) (maximum daily dose is
150 mg) or Tab. Evening primrose oil 500 mg 3 times a day.
2. NSAIDs like mefenamic acid 500 mg 3 times a day for premenstrual dysmenorrhea.
3. In case of predominantly physical symptoms (bloatedness, irritability swelling,
270
Obstetrics andGynecology
weight gain, breast tenderness), Tab. spironolactone 100 mg/day Or Tab. bromocriptine
1.25 - 5 mg/day in the luteal phase for mastalgia. (Common side effects are nausea and
vomiting. Tablet can be given vaginally if side effects are very severe.)
4. If no relief in symptoms with above measures in 2 - 3 cycles and symptoms are
predominantly emotional, then the following drugs are used preferably in consultation
with a psychiatrist: Tab. fluoxetine 5-20 mg/day
5. In non-responders to the above therapy, ovulation suppression may be beneficial; any
of the following can be used: Low dose combined oral contraceptive pills, 1 pill daily
from 5th to 25th day of the cycle."
DYSFUNCTIONAL UTERINE BLEEDING (DUB),"Treatment (Acute bleeding-first episode)
I. Severe bleeding (hemodynamically unstable patient)
 IV line, fluid replacement, blood transfusion, oxygen inhalation and monitoring of vitals.
 Dilatation and curettage to arrest bleeding except in cases of puberty menorrhagia where
medical management is preferred. IV tranexamic acid can be tried before resorting to
surgical intervention.
II. Less severe bleeding (haemodynamically stable patient)
 High dose progestogen: norethisterone 10 mg 3 times a day until bleeding stops (not >3
days) followed by norethisterone 5-10 mg or medroxyprogesterone acetate 10 mg per
day for 21 days. Withdrawal bleeding occurs after 2-4 days of stopping the drug and
stops in 4-5 days. Or combined oral contraceptive pills (OCs) containing 50 mcg
ethinyloestradiol 1 pill 2 times a day for 7 - 10 days followed by progestins for 7-10 days,
followed by withdrawal bleeding.
III.If bleeding is not controlled with progestogens
Patient is having heavy bleeding for many days, endometrial curettage yields minimal
tissue, or when the patient has been on progestogen medication (OC's or Depot MPA) and
the endometrium is shallow and atrophic.
Treatment schedules of high dose oestrogens, depending on the severity of the bleeding the
following can be used:
1. Conjugated oestrogen 25 mg IV every 4 h till bleeding abates or for 12 h. Progestin
271
Obstetrics andGynecology
treatment is started at the same time.
2. Oral treatment conjugated oestrogen 1.25 mg or 2 mg oestradiol valerate given
orally every 4 h for maximum of 24 h followed by single daily dose for 7-10 days.
All treatments must he followed by progestin coverage (10 mg MPA daily) along with
oestrogen for 7 days.
Monitoring
Clinical monitoring by vital charting and observation of blood loss per vaginum
Treatment (Chronic DUB - not actively bleeding)
 Iron therapy: elemental iron maximum 60 mg 3 times a day
 Histopathological diagnosis is must before starting hormonal therapy in all cases except
puberty menorrhagia.
I. Anovulatory DUB
 If contraception is desired: OCPs for 3 - 6 cycles or norethisterone 5-10 mg.
 Medroxyprogesterone acetate (MPA) 10 mg 16-25th day of the cycle for 3-6 cycles.
 In cases of endometrial hyperplasia without atypia on histology norethisterone acetate 5 mg
three times a day or MPA 10 mg twice a day 5-25th day of cycle for 3-9 cycles
followed by repeat endometrial biopsy.
 If fertility desired: ovulation induction is advised.
 Levonorgestrel IUD can be offered after counseling and is beneficial in DUB.
II. Ovulatory DUB
 NSAIDs: mefenamic acid 500 mg 3 times a day for 3 -5 days during periods. Or
 Oral combined contraceptive pills if contraception is desired.
If the above treatment is not effective in first cycle patient should be referred for
tertiary care. Following treatment can be considered as an alternative to surgery:
 Tab. danazol 200 mg daily for 3 months.
 Levonorgestrel IUCD can be offered after counseling and is beneficial in DUB."
MENOPAUSE,"treatment
 Balanced diet with fruits, vegetables, semi-skimmed milk adequate in vitamins and
minerals. A reduction or avoidance of smoking and alcohol consumption.
 Exercise: walking or swimming for 20-30 min every day.
Pharmacological treatment
 Tab. calcium 1500 mg daily.
 Hormone replacement therapy (HRT). Rule out contraindications to HRT like
endometrial/breast cancer, acute phase myocardial infarction, undiagnosed breast
lump/abnormal vaginal bleeding and acute liver disease. Hypertension and diabetes if
present should be controlled before HRT is prescribed.
Oestrogen therapy
 For hysterectomized patients- conjugated equine oestrogen 0.625 -1.25 mg. or oestriol
1-2 mg is given daily 1-25th day every month or daily without any break. If symptoms
recur during drug free period then give continuous therapy. Or
 Transdermal oestradiol patch 50 or 100 mcg/day applied twice a week away from breast,
preferably on the shaved skin of buttock, thigh or legs (Limiting factor is local skin
reactions). Transdermal oestradiol patch is preferred in case of gall bladder disease,
hypertriglyceridimea, history of thromboembolism, poorly-controlled hypertension,
recent myocardial infarction, vascular diseases, migraine, chronic hepatic dysfunction,
malabsorption syndrome.
 Combined therapy with oestrogens and progestin in women with intact uterus.
273
Obstetrics andGynecology
i. Oestrogen therapy as above.
ii. Progestogen-medroxyprogesterone acetate 5 - 10 mg, or dihydrogesterone 10 - 20
mg or norethisterone 2.5 mg or 200 ml micronized progesterone is added from 13th to
25th days in cyclic sequential regimen and 1st to 12th of every month in continuous
sequential regimen.
If withdrawal bleeding is not acceptable then give continuous combined treatment (0.625 mg
conjugated equine oestrogen + 2.5 mg medroxyprogesterone acetate or 1 mg micronized
oestrogen + 100 mg micronized progesterone).
If conventional HRT is contraindicated
 Tab. Tibolone 2.5 mg per day (major side effects are weight gain, oedema, breast tenderness,
GIT symptoms and vaginal bleeding).
 In symptomatic elderly women with atrophic vaginitis and other urogenital symptoms who
do not desire long term HRT: Oestriol cream daily application of 0.5 g delivering 0.5 mg of
oestriol for 3 weeks followed by twice weekly application for 3 - 4 weeks.( Key indicator
of response to therapy is improvement in symptoms).
"
POSTMENOPAUSAL BLEEDING,"Treatment
Treatment of postmenopausal bleeding according to cause
Cause Treatment
Benign & malignant neoplasm of vulva"
EARLY DETECTION OF CANCER,"treatment or HIV+ should be tested twice during the first year after
diagnosis and annually thereafter.
 Women with a history or absence of CIN 2/3 before as the indication for the
hysterectomy, should continue until there is a 10 year history of no abnormal positive
cytology tests.
 Every woman at 30 years should undergo Pap smear at least once as it helps in diagnosis
of early cervical cancer (ICMR guidelines).
Screening for cervical cancer
Age group- 3 years after sexual activity, not later than 21years. In countries with limited
resources all women around the age of 30 years should have one Pap test.
Method
 Pap smear (or) VIA (visual inspection after application of 5%acetic acid) in countries
with limited resources.
Precautions -Prior to a pap smear
 Not to douche for 48 hours, or use vaginal cream for 1 week, abstain from coitus for 24
hours, smear to be done on 7th day after menstrual period
Technique
 PAP TEST includes samples from ecto-cervix and endo-cervix
 Use bivalved speculum
276
Obstetrics andGynecology
 Place the endocervical brush or cotton tipped swab and roll it firmly against the canal
 Remove the endocervical brush or cotton tipped swab and place samples on the glass
slide
 Place the spatula against the cervix with the longer protrusion in the cervical canal
 Rotate the spatula 360° firmly against the cervix, scrape the entire transformation zone
 Place the sample immediately from the spatula onto the glass slide and fix it (spray
fixative or placing it in a bottle of fixative –95% ethanol."
PSYCHIATRY DISORDERS,"treatment, and their
acceptance is also improving. Although psychopharmacology forms the backbone of
treatment in most psychiatric disorders, certain points need to be especially emphasized while
managing psychiatric patients:
1) The formation of a trusting, confidential, non-judgemental and empathetic doctor -patient
relationship is crucial to the practice of psychiatry.
2) Knowing the person as a whole rather than only his symptoms endorses patient
improvement.
3) The psychotic patient often loses his judgement and reality perception. Such patients
often have to be treated against their will.
4) Family has an important role in the causation and management of psychiatric disorders.
5) All patients do well with holistic treatment which includes psychopharmacology, other
biological treatments, psychotherapyandrehabilitation.
6) Psychiatric treatment often continues for a long period, so compliance is a major issue."
SCHIZOPHRENIA AND OTHER PSYCHOTIC DISORDERS,"treatment
 Cognitive behaviorally oriented psychotherapy -understanding of illness, identification of
target symptoms, and development of strategies to cope up with these symptoms.
284
Psychiatry Disorders
 Rehabilitation of the patients in the form of supported employment, individualized job
development, ongoing job support, integration of vocational and mental health services.
 Social skills training, behavior based instructions, corrective feedback, and contingent
social reinforcement.
Pharmacological treatment
 Hospitalization is indicated in suicidal patients, non compliant patients, treatment
resistant cases and diagnostically difficult cases (Figure 1).
 Antipsychotics (typical and atypical) are the main treatment for such patients (Table 1).
 Co-administration of Tab. trihexyphenidyl (2 – 12 mg/day) is recommended with typical
antipsychotics.
 Benzodiazepines (Inj. lorazepam 2-4 mg, orally, IM or IV preparation) may be co-
administered in uncooperative patients initially.
 ECT (electro convulsive therapy) - electric shock of 100-120 volts may be given in
patients with associated suicidal intention and treatment resistant cases. It is given for 1-3
seconds under general anesthesia so that it produces short lasting generalized tonic clonic
convulsions.
285
Psychiatry Disorders
Table 1. Dosage schedule and adverse effects of commonly used antipsychotics
Drugs Effective dose Dosage schedule Adverse effect
Typical antipsychotics
Haloperidol 5–20 mg/day, Start with 5 mg twice a More extra-pyramidal side
available as tablets, day or 10 mg HS and effects viz slowness of
syrup, injection and increase the dose by movements, blunted facial
depot preparation 5mg if no response. expressions, tremors,
(50 mg/ampoule) Depot injection to be rigidity, excessive
given once two to three salivation, etc.
weeks. Non specific -sedation,
Trifluoperazine Available as 5mg Start with 5mg/ day and reduction in seizure
Tab. can be gradually threshold, orthostatic
titrated upto a hypotension,
maximum of 40 anticholinergic side effects
mg/day CVS -cardiac toxicity,
Fluphenazine Depot injection Once in 15-20 days sudden death,
decanoate 5 mg/2ml Hematological -leucopenia
Depot injection One ampoule IM once Endocrinal -
Zuclopenthixol 200mg/ml in 2-3 weeks. hyperprolactinemia
Sexual -anorgasmia and
decreased libido,
GIT -nausea, vomiting,
hepatotoxicity
Atypical antipsychotics
Risperidone 2-10 mg/day, Start with 2mg once a
available as tablets, day or twice a day and
syrup and depot titrate it to 8mg/day
preparation (25 gradually. Deport Less extra-pyramidal side
mg/ampoule) injection to be given effects
deep IM once every 15 Non specific -dizziness,
days hyperkinesias, somnolence,
Olanzapine 5–30 mg/day, Start with 5 mg once a anti-cholinergic side effects
available as tablets day or HS and titrate like dry mouth,
gradually by 5 mg/day constipation, delirium
if no improvement. GIT -nausea, vomiting.
Quetiapine Available as 50, Start with 50mg twice a Endocrinal -
100, 200 mg day and build upto 300- hyperprolactinemia,
tablets 800 mg/ per day hyperglycemia.
Hematological -leucopenia
Sexual -erectile
Clozapine 25–300 mg/ per Get complete blood dysfunction,
day, available as counts done before orgasmic dysfunction
tablets starting clozapine. General -weight gain
Start with 25 mg HS or
50mg HS gradually
titrate to 500mg.
286
Psychiatry Disorders
Figure 1. Treatment guidelines for schizophrenia
Patienteducation
 Both, the patient and the primary caregiver should be explained that although
schizophrenia is a chronic illness and requires long term treatment, it can be effectively
treated in most cases.
 Mild to moderate side effects may develop to medications, but usually tolerance develops
to them.
 Medicines should not be stopped abruptly.
 Family should be encouraged to take up the responsibility for regular treatment and"
OTHER PSYCHOTIC DISORDERS,"treatment is similar as schizophrenia
Brief psychotic disorder
 Clinical features similar to schizophrenia
 Differs from schizophrenia in that duration of symptoms is less than 1 month
 Pharmacological treatment is similar to schizophrenia
287
Psychiatry Disorders
Delusional disorder
 Clinical features - characterized by single or multiple non bizarre (false fixed but feasible
beliefs)delusions of 1 month duration
 Differs from schizophrenia in that duration of delusions is 1 month and functioning and
behavior in other areas of life than delusional one is intact
 Insight oriented psychotherapy forms mainstay of treatment whereas Pharmacological
treatment is similar to schizophrenia
Schizoaffective disorder
 Symptoms of schizophrenia are present continuously and features of bipolar affective
disorder overlap
 Differs from schizophrenia by prominence of affective features
 Pharmacological treatment is with antipsychotics and mood stabilizers as in schizophrenia
and bipolar disorder respectively"
